iteration,loss,layer1_filters,layer1_kernel,layer2_filters,layer2_kernel,layer3_filters,layer3_kernel,layer4_filters,layer4_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
1,0.20085603,30,6,93,2,67,6,342,8,0.79914397,0.7113029,0.7845174,0.63854355,1.1319096,4014.0747676349706
2,0.2079637,48,10,118,3,155,7,409,8,0.7920363,0.7025056,0.6632038,0.7415631,1.2721993,3993.436121747829
3,0.21106654,37,6,112,7,121,2,485,7,0.78893346,0.70094657,0.6936997,0.7081483,1.2269651,3998.247948547127
4,0.19387540000000006,41,7,80,8,24,7,21,7,0.8061246,0.70929843,0.61494637,0.8030639,1.0735567,4046.6686776811257
5,0.18893194,47,9,18,4,192,5,204,5,0.81106806,0.7182628,0.808311,0.6287744,1.0596731,4008.148126092041
6,0.19680804,56,9,61,2,108,3,26,7,0.80319196,0.717706,0.7272118,0.70825934,1.0662742,4001.807409684872
7,0.19792820000000003,61,8,25,9,72,2,19,10,0.8020718,0.71302897,0.7791555,0.6473135,1.069922,3994.58872177708
8,0.19462910000000003,18,2,60,3,167,9,394,3,0.8053709,0.7169265,0.7191689,0.714698,1.0751575,3993.702427972807
9,0.19049954,28,8,127,9,134,5,156,6,0.80950046,0.71831846,0.6918007,0.7446714,1.0802842,4003.9887245730492
10,0.19526049999999995,30,2,31,4,57,8,246,4,0.8047395,0.7149221,0.7899911,0.6403197,1.0832412,4012.5226916801184
11,0.2033498,31,8,32,5,169,3,387,7,0.7966502,0.70718265,0.6632038,0.7508881,1.1348611,4023.2785683339457
12,0.19301647,56,8,110,2,106,8,400,3,0.80698353,0.71481067,0.78016084,0.64986676,1.1003896,4043.8056939810053
13,0.200151,28,10,124,6,85,2,292,3,0.799849,0.71197104,0.65326184,0.7703153,1.0880744,4048.351819816977
14,0.19323844,51,8,62,3,77,9,410,5,0.80676156,0.7150891,0.7277703,0.7024867,1.0808853,4020.272887337953
15,0.20291859999999995,27,6,42,5,36,3,347,10,0.7970814,0.7030067,0.6053396,0.8000666,1.1346774,4065.390756253153
16,0.1903537,53,5,20,10,156,9,321,4,0.8096463,0.7212138,0.7556971,0.68694496,1.0625173,4041.067403244786
17,0.2080525,40,3,90,4,232,4,31,9,0.7919475,0.69844097,0.6141644,0.7821936,1.1568481,4070.3971440140162
18,0.2172236,21,4,116,2,177,9,484,7,0.7827764,0.6907572,0.6039991,0.77697605,1.4425948,4052.1065321711358
19,0.19474040000000006,17,4,116,7,146,5,87,6,0.8052596,0.71609133,0.73134494,0.7009325,1.0696598,4056.9494765761774
20,0.1974431,17,8,22,9,141,7,22,7,0.8025569,0.7031737,0.58813673,0.8174956,1.0873096,4035.897378996946
21,0.19847643000000004,46,5,45,10,216,10,188,4,0.80152357,0.7056236,0.6325961,0.77819717,1.1549383,4026.701909180963
22,0.19315046,63,5,16,5,196,6,213,5,0.80684954,0.7201002,0.7464254,0.69393873,1.0661862,4033.474287105957
23,0.19601727,55,5,45,6,254,5,111,2,0.80398273,0.7113029,0.65683645,0.76543075,1.071474,4038.444653423037
24,0.1934948,45,7,19,4,207,4,276,5,0.8065052,0.7175947,0.6942583,0.74078596,1.0670696,4016.83309433586
25,0.20397943,52,4,34,10,251,10,315,4,0.79602057,0.7052339,0.7252011,0.6853908,1.1703918,4036.600752776023
26,0.194824,36,3,53,8,195,4,226,5,0.805176,0.71603566,0.6959339,0.73601246,1.0833925,4047.065743070096
27,0.1936588,60,7,74,7,229,8,155,2,0.8063412,0.71703786,0.7573727,0.6769538,1.0979594,4037.4015767818787
28,0.19103307000000005,49,9,17,5,189,6,447,3,0.80896693,0.72149223,0.7284406,0.71458703,1.0527909,4043.0074426101055
29,0.20031077,45,5,99,4,232,6,347,4,0.79968923,0.7125278,0.6794013,0.74544847,1.1337723,4035.869764433941
30,0.191145,43,9,38,3,159,5,180,6,0.808855,0.7223831,0.7594951,0.68550175,1.0692652,4041.350788431941
31,0.18641070000000004,35,6,26,6,184,7,90,8,0.8135893,0.7242205,0.7536863,0.6949378,1.0548757,3986.580065124202
32,0.1994422,35,10,52,6,183,7,70,9,0.8005578,0.71325165,0.7357015,0.6909414,1.1075214,3981.2465862480462
33,0.19515380000000004,38,7,29,7,122,7,123,8,0.8048462,0.71575725,0.75469166,0.67706484,1.0983837,3980.47580189188
34,0.20759429999999998,34,6,77,8,212,7,55,9,0.7924057,0.6982183,0.84528595,0.55206484,1.2639707,3985.7202487098975
35,0.20409520000000006,22,9,84,5,251,5,123,8,0.7959048,0.70022273,0.5828865,0.8168295,1.1737763,4002.254387238063
36,0.19795850000000004,33,6,26,3,124,4,241,8,0.8020415,0.7150334,0.7116845,0.71836144,1.1192753,3935.277566253906
37,0.20959646,42,10,65,6,205,8,153,10,0.79040354,0.7035078,0.6753798,0.7314609,1.2728566,4010.223464268027
38,0.20600045,24,3,70,4,106,6,195,8,0.79399955,0.70929843,0.69827974,0.72024864,1.170122,3984.009488259908
39,0.19180200000000006,38,7,51,2,163,6,106,6,0.808198,0.72032297,0.7206211,0.7200267,1.0687587,3988.2598335701036
40,0.19237780000000004,48,9,38,7,223,3,47,9,0.8076222,0.7201559,0.7683199,0.6722913,1.068175,3993.721973052947
41,0.2064134,32,2,25,5,240,8,139,7,0.7935866,0.7032294,0.67605007,0.7302398,1.1579144,3987.843886830145
42,0.2048129,43,10,104,8,172,7,261,6,0.7951871,0.7028397,0.83042896,0.57604355,1.2616096,3998.8476057341322
43,0.19336766000000005,26,6,56,4,152,5,95,5,0.80663234,0.7164254,0.6776139,0.7549956,1.0692337,3987.30552572594
44,0.197036,59,7,38,6,132,2,171,8,0.802964,0.7139198,0.657395,0.77009326,1.0934132,3985.315940140048
45,0.208884,50,9,67,3,98,3,213,10,0.791116,0.69638085,0.6070152,0.78519094,1.1997154,3992.310242953012
46,0.19948893999999995,39,4,47,5,42,4,76,7,0.80051106,0.7153118,0.7117962,0.7188055,1.0777663,3994.700762901921
47,0.21236500000000005,30,8,34,3,242,8,369,9,0.787635,0.7039532,0.7483244,0.6598579,1.3245317,4002.789476607926
48,0.20009035,47,8,84,7,200,9,301,3,0.79990965,0.71169263,0.7731233,0.6506439,1.1612885,4007.5933799280324
49,0.19971955,58,3,57,2,182,5,133,6,0.80028045,0.7149221,0.71995085,0.7099245,1.0954964,3991.152030315017
50,0.19225866000000005,54,10,28,6,135,7,255,7,0.80774134,0.7183742,0.7485478,0.6883881,1.0752121,3997.6979589550765
51,0.19370220000000005,20,7,23,9,85,6,277,5,0.8062978,0.70907575,0.8327748,0.58614564,1.0877347,4015.616010839993
52,0.21567214,57,4,92,4,147,10,431,7,0.78432786,0.69927615,0.7178284,0.68083924,1.5983399,4012.063355209015
53,0.19737685000000005,41,6,42,5,62,3,42,10,0.80262315,0.7177617,0.77792674,0.65797067,1.0748917,3969.717840192025
54,0.2015873,25,5,123,2,222,2,204,4,0.7984127,0.7133073,0.75067025,0.6761767,1.0879477,3957.360023741028
55,0.19147336000000004,29,8,21,4,163,8,232,5,0.80852664,0.72227174,0.7810545,0.66385436,1.0822384,3973.6825240769535
56,0.19434476,63,9,32,7,173,4,173,2,0.80565524,0.7172606,0.68722075,0.7471137,1.0556605,3983.405290627969
57,0.1997641,36,6,17,3,21,9,330,9,0.8002359,0.7115813,0.6933646,0.7296847,1.0759319,2381.292858549976
58,0.1900096,31,5,60,8,190,5,67,4,0.8099904,0.72327393,0.7698838,0.6769538,1.0603532,2371.4878684880096
59,0.2093446,44,2,109,5,243,6,371,3,0.7906554,0.70445436,0.7155943,0.69338363,1.1742592,2333.891247623018
60,0.1876156,40,8,48,6,218,7,17,6,0.8123844,0.7224944,0.73659515,0.7084814,1.0450591,2370.670102046977
61,0.19743615000000006,37,7,48,8,114,9,94,7,0.80256385,0.705902,0.85433424,0.5583925,1.1411321,2367.258345454989
62,0.20775086,23,8,42,9,220,7,502,6,0.79224914,0.7028397,0.76351655,0.64254,1.2505171,2302.587563232053
63,0.19083540000000002,28,7,64,7,211,8,19,8,0.8091646,0.72210467,0.7224084,0.72180283,1.0594563,2361.753752915014
64,0.19543856000000004,40,6,69,6,202,7,32,7,0.80456144,0.7134744,0.6979446,0.72890764,1.0716761,2354.1557797300047
65,0.19711816000000004,33,5,37,6,178,10,18,10,0.80288184,0.7121938,0.6702413,0.75388545,1.0918465,2361.864174558956
66,0.18587420000000002,52,10,29,5,193,6,142,5,0.8141258,0.7201559,0.8182529,0.62266874,1.0595315,2385.095205285994
67,0.18715800000000005,52,10,30,6,185,6,58,5,0.812842,0.7201002,0.70364165,0.73645645,1.0441902,2365.7589578729817
68,0.18976456,62,10,28,5,186,6,81,4,0.81023544,0.7139198,0.6228776,0.8043961,1.056832,2377.984625854995
69,0.18708503,54,10,35,7,153,6,113,5,0.81291497,0.7228285,0.7043119,0.74123,1.0411702,2309.123246236006
70,0.1871786,56,9,34,7,140,5,147,4,0.8128214,0.7250557,0.77625114,0.6741785,1.0453366,2328.633619008004
71,0.19086860000000005,54,10,25,7,129,6,115,5,0.8091314,0.72193766,0.7679848,0.6761767,1.0601431,2618.226362227986
72,0.1895254,50,9,56,8,156,5,162,3,0.8104746,0.71893096,0.8023905,0.6359902,1.0524368,2655.0563625950017
73,0.18996539999999995,46,10,16,5,168,6,188,5,0.8100346,0.7172049,0.64577746,0.7881883,1.0561084,2767.2511487459997
74,0.18918860000000004,61,9,20,8,113,8,104,6,0.8108114,0.72210467,0.7277703,0.71647424,1.0482516,2357.211022912001
75,0.1906694,48,3,41,9,99,7,143,6,0.8093306,0.7180958,0.6811886,0.75477356,1.0857489,2333.554332469008
76,0.19059269999999995,58,10,45,7,146,7,225,5,0.8094073,0.7126949,0.84506255,0.5811501,1.1098968,2356.994192166021
77,0.1968898,52,9,23,6,195,5,42,2,0.8031102,0.71325165,0.78652817,0.64043075,1.0677326,2365.9230869529997
78,0.19730693,60,4,76,5,227,4,129,4,0.80269307,0.7134187,0.6578418,0.7686501,1.0949334,2357.3689912599507
79,0.18833120000000006,54,10,53,4,151,7,163,5,0.8116688,0.7214365,0.7890974,0.65419626,1.0662416,2345.4614246030105
80,0.19227415000000006,50,8,36,10,177,6,97,8,0.80772585,0.7211025,0.7298928,0.71236676,1.0728685,2327.5226558430004
81,0.20187026,64,2,84,8,163,8,62,3,0.79812974,0.710412,0.73134494,0.6896092,1.1249954,2322.7143618729897
82,0.18496466,44,8,32,6,236,7,80,6,0.81503534,0.72449887,0.7014075,0.7474467,1.0466592,2353.9387851320207
83,0.2029498,44,7,97,5,239,8,87,7,0.7970502,0.7076281,0.6537087,0.7612122,1.1799964,2293.734697774984
84,0.20728486999999995,42,8,31,6,255,9,198,9,0.79271513,0.70495546,0.7466488,0.6635213,1.2606946,2339.3031220239936
85,0.20442355,35,6,40,4,234,7,36,8,0.79557645,0.707461,0.64075065,0.7737567,1.1148052,2351.37812345603
86,0.20333690000000004,38,7,50,5,210,7,277,7,0.7966631,0.7066815,0.73659515,0.6769538,1.1964898,2334.183219808037
87,0.19219774,47,5,27,6,245,8,52,6,0.80780226,0.7185969,0.706546,0.7305728,1.0684947,2347.4709750589677
88,0.19903740000000006,42,7,19,4,200,9,181,8,0.8009626,0.7131403,0.7268767,0.69948936,1.121255,2348.519036357989
89,0.188854,45,8,62,6,215,5,123,6,0.811146,0.72210467,0.76373994,0.68072826,1.0718629,2364.9155623760307
90,0.22317433,19,6,44,5,250,10,245,9,0.77682567,0.6922049,0.7285523,0.65608346,1.6427466,2350.3287694660253
91,0.19878949999999995,49,9,24,3,227,8,214,7,0.8012105,0.7110802,0.683311,0.7386767,1.1084027,2376.7431504750275
92,0.1957538,39,8,73,7,207,6,76,4,0.8042462,0.7113029,0.6432082,0.77897424,1.0828143,2603.1302329539903
93,0.20649034,46,5,80,4,234,4,289,6,0.79350966,0.7074053,0.7598302,0.6553064,1.241445,2748.389933569008
94,0.20910937,34,7,31,6,195,7,134,9,0.79089063,0.7021715,0.75916,0.6455373,1.218547,2394.0758208070183
95,0.20816310000000005,26,4,58,7,248,9,71,7,0.7918369,0.70451003,0.7086685,0.70037746,1.1884705,2371.087451702973
96,0.19844740000000005,51,6,16,5,140,8,145,2,0.8015526,0.70768374,0.62555856,0.7892984,1.0852851,2732.145491914009
97,0.1951086,31,8,39,3,127,5,87,8,0.8048914,0.7185412,0.6991734,0.7377886,1.0720704,2543.9451821609987
98,0.1896395,44,9,87,6,190,7,169,5,0.8103605,0.7226615,0.76720285,0.678397,1.0829335,2277.395163703
99,0.22373986,41,7,54,5,181,6,154,10,0.77626014,0.68969935,0.6899017,0.68949825,1.3869108,2310.2134014790004
100,0.1907903,37,8,46,4,173,5,106,4,0.8092097,0.722049,0.73760056,0.7065941,1.0493814,2319.0197452639995
